uuid,adm4_pcode,date,freq,pct_area_bare_sparse_vegetation,pct_area_builtup,pct_area_cropland,pct_area_grassland,pct_area_herbaceous_wetland,pct_area_mangroves,pct_area_permanent_water_bodies,pct_area_shrubland,pct_area_tree_cover
ESAWC000000,PH015518016,2021-01-01,Y,0.28,2.3,0.01,0.24,0.08,0.0,100.0,0.0,0.63
ESAWC000001,PH015518031,2021-01-01,Y,2.83,48.06,6.56,10.68,0.02,0.0,30.68,0.0,10.61
ESAWC000002,PH015518022,2021-01-01,Y,1.21,31.28,1.64,3.87,0.08,0.0,60.15,0.0,6.74
ESAWC000003,PH015518024,2021-01-01,Y,3.32,74.8,0.0,0.66,0.0,0.0,20.02,0.0,5.92
ESAWC000004,PH034919017,2021-01-01,Y,0.08,3.06,15.71,35.54,0.0,0.0,0.08,0.0,62.38
ESAWC000005,PH034919010,2021-01-01,Y,0.14,7.5,28.1,23.83,0.0,0.0,4.35,0.0,68.64
ESAWC000006,PH050506053,2021-01-01,Y,0.0,3.43,12.3,1.52,0.0,0.0,0.0,0.0,100.36
ESAWC000007,PH050506056,2021-01-01,Y,0.25,1.22,0.63,4.72,0.0,4.71,0.17,0.0,94.97
ESAWC000008,PH050506072,2021-01-01,Y,2.23,100.85,0.0,0.0,0.0,0.0,0.0,0.0,20.96
ESAWC000009,PH050506020,2021-01-01,Y,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,26.75
ESAWC00000A,PH050506051,2021-01-01,Y,0.8,79.17,2.56,14.47,0.0,0.0,0.0,0.0,36.9
ESAWC00000B,PH050506022,2021-01-01,Y,0.12,100.0,0.0,0.41,0.0,0.0,0.0,0.0,3.26
ESAWC00000C,PH050506042,2021-01-01,Y,0.02,56.98,0.0,0.36,0.0,0.0,0.0,0.0,49.95
ESAWC00000D,PH050506012,2021-01-01,Y,0.55,95.81,1.35,1.61,0.0,0.0,0.0,0.0,38.48
ESAWC00000E,PH050506003,2021-01-01,Y,0.0,1.77,28.45,0.18,0.0,0.0,0.0,0.0,101.52
ESAWC00000F,PH050506038,2021-01-01,Y,0.0,41.3,0.0,0.0,0.0,0.0,0.0,0.0,63.2
ESAWC000010,PH050506007,2021-01-01,Y,0.0,11.98,0.0,5.89,0.0,0.0,0.0,0.0,88.68
ESAWC000011,PH050506043,2021-01-01,Y,0.0,28.31,0.0,3.61,0.0,0.0,0.0,0.0,78.7
ESAWC000012,PH063022084,2021-01-01,Y,0.09,100.35,0.0,5.54,0.0,0.0,0.0,0.0,13.84
ESAWC000013,PH063022081,2021-01-01,Y,1.94,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39
ESAWC000014,PH063022178,2021-01-01,Y,0.62,67.85,0.19,22.9,0.0,0.0,0.0,0.0,23.04
ESAWC000015,PH063022189,2021-01-01,Y,0.88,100.0,0.0,0.33,0.0,0.0,0.0,0.0,5.0
ESAWC000016,PH063022064,2021-01-01,Y,0.02,54.34,6.83,23.68,0.0,0.0,0.0,0.0,21.38
ESAWC000017,PH063022033,2021-01-01,Y,7.17,22.77,13.92,36.28,0.0,0.0,0.0,0.0,24.1
ESAWC000018,PH063022080,2021-01-01,Y,0.0,100.17,0.0,0.17,0.0,0.0,0.0,0.0,31.16
ESAWC000019,PH063022097,2021-01-01,Y,0.0,100.0,0.0,1.36,0.0,0.0,0.0,0.0,6.48
ESAWC00001A,PH063022154,2021-01-01,Y,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
ESAWC00001B,PH063022041,2021-01-01,Y,0.02,53.45,1.11,10.75,0.0,0.0,0.0,0.0,62.51
ESAWC00001C,PH063022186,2021-01-01,Y,0.0,100.0,0.0,6.01,0.0,0.0,0.0,0.0,9.13
ESAWC00001D,PH063022161,2021-01-01,Y,0.0,100.0,0.0,0.31,0.0,0.0,0.0,0.0,12.33
ESAWC00001E,PH063022023,2021-01-01,Y,0.02,27.56,0.86,3.3,0.02,0.0,10.99,0.0,79.72
ESAWC00001F,PH063022060,2021-01-01,Y,4.61,27.77,3.89,7.68,1.9,0.0,29.54,0.0,27.09
ESAWC000020,PH063022159,2021-01-01,Y,0.0,96.76,0.0,0.68,0.0,0.0,0.0,0.0,8.98
ESAWC000021,PH063022181,2021-01-01,Y,1.12,99.82,0.0,1.4,0.0,0.0,20.07,0.0,6.29
ESAWC000022,PH063022011,2021-01-01,Y,0.63,22.44,7.09,41.65,0.0,0.0,0.0,0.0,37.62
ESAWC000023,PH063022043,2021-01-01,Y,0.16,100.0,0.0,2.9,0.0,0.0,0.0,0.0,11.73
ESAWC000024,PH063022177,2021-01-01,Y,1.94,53.21,14.61,49.83,0.0,0.0,1.65,0.0,20.31
ESAWC000025,PH063022115,2021-01-01,Y,1.42,16.91,7.58,19.98,8.58,0.0,37.66,0.0,11.64
ESAWC000026,PH063022071,2021-01-01,Y,0.28,101.22,0.0,1.53,0.0,0.0,0.0,0.0,16.81
ESAWC000027,PH063022188,2021-01-01,Y,3.23,97.57,0.0,2.43,0.0,0.0,2.08,0.0,14.29
ESAWC000028,PH063022045,2021-01-01,Y,0.0,100.0,0.0,0.31,0.0,0.0,0.0,0.0,7.3
ESAWC000029,PH063022168,2021-01-01,Y,0.28,50.02,0.41,4.76,0.14,0.0,0.99,0.01,51.39
ESAWC00002A,PH063022069,2021-01-01,Y,0.63,100.0,0.0,0.15,0.0,0.0,0.0,0.0,0.08
ESAWC00002B,PH063022169,2021-01-01,Y,0.23,99.83,0.0,2.23,0.0,0.0,0.08,0.0,18.37
ESAWC00002C,PH072230023,2021-01-01,Y,4.42,100.13,0.0,1.34,0.0,0.0,0.0,0.0,20.8
ESAWC00002D,PH072230001,2021-01-01,Y,2.35,100.04,0.0,0.64,0.0,0.0,0.0,0.0,10.6
ESAWC00002E,PH072230014,2021-01-01,Y,1.41,80.52,0.09,2.82,0.0,7.99,1.96,0.0,32.33
ESAWC00002F,PH072230006,2021-01-01,Y,0.46,100.06,0.0,5.37,0.0,0.0,0.0,0.0,14.85
ESAWC000030,PH072230011,2021-01-01,Y,1.05,65.39,0.0,0.69,0.0,0.0,0.0,0.0,43.56
ESAWC000031,PH072230024,2021-01-01,Y,1.31,60.4,0.24,15.73,0.0,0.0,0.0,0.0,52.97
ESAWC000032,PH083747022,2021-01-01,Y,0.0,0.65,0.55,7.68,0.0,0.0,0.0,0.0,97.09
ESAWC000033,PH083747063,2021-01-01,Y,0.0,103.71,0.0,1.18,0.0,0.0,0.0,0.0,60.59
ESAWC000034,PH083747123,2021-01-01,Y,12.73,70.22,0.02,6.3,0.0,0.0,6.46,0.0,4.83
ESAWC000035,PH083747129,2021-01-01,Y,0.52,90.45,0.19,27.19,1.83,0.0,0.05,0.0,36.52
ESAWC000036,PH083747071,2021-01-01,Y,0.0,100.13,0.0,0.32,0.0,0.0,0.0,0.0,6.32
ESAWC000037,PH083747034,2021-01-01,Y,2.03,94.19,0.0,0.0,0.0,0.0,3.78,0.0,0.0
ESAWC000038,PH083747128,2021-01-01,Y,1.07,29.8,0.13,19.05,0.25,12.66,4.65,0.0,44.05
ESAWC000039,PH083747048,2021-01-01,Y,0.0,100.0,0.0,10.08,0.0,0.0,0.0,0.0,0.0
ESAWC00003A,PH083747044,2021-01-01,Y,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESAWC00003B,PH083747133,2021-01-01,Y,0.3,16.19,0.95,22.14,0.0,9.1,1.14,0.0,61.86
ESAWC00003C,PH083747067,2021-01-01,Y,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESAWC00003D,PH083747076,2021-01-01,Y,0.21,100.06,0.0,9.9,0.0,0.0,0.0,0.0,21.63
ESAWC00003E,PH083747112,2021-01-01,Y,0.28,100.03,0.0,13.8,0.0,0.0,0.0,0.0,23.01
ESAWC00003F,PH083747059,2021-01-01,Y,0.17,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESAWC000040,PH083747077,2021-01-01,Y,0.0,100.13,0.0,0.27,0.0,0.0,0.0,0.0,19.14
ESAWC000041,PH083747087,2021-01-01,Y,0.0,81.39,0.0,5.56,0.0,0.0,3.34,0.0,9.79
ESAWC000042,PH083747124,2021-01-01,Y,0.72,61.8,0.28,17.65,0.0,0.0,0.0,0.0,57.63
ESAWC000043,PH083747012,2021-01-01,Y,0.07,100.0,0.0,11.23,0.0,0.0,0.0,0.0,2.19
ESAWC000044,PH083747120,2021-01-01,Y,0.1,36.02,0.04,44.0,0.2,4.72,0.0,0.0,21.76
ESAWC000045,PH083747113,2021-01-01,Y,0.0,53.91,0.06,17.41,0.0,0.0,0.0,0.0,31.41
ESAWC000046,PH083747151,2021-01-01,Y,0.0,78.15,0.0,12.23,0.0,0.0,0.0,0.0,17.73
ESAWC000047,PH083747062,2021-01-01,Y,0.0,100.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0
ESAWC000048,PH097332062,2021-01-01,Y,0.06,100.0,0.0,0.06,0.0,0.0,0.0,0.0,3.37
ESAWC000049,PH097332028,2021-01-01,Y,0.0,0.16,0.03,1.45,0.0,0.0,0.0,0.0,100.0
ESAWC00004A,PH097332067,2021-01-01,Y,1.51,51.64,18.2,6.81,0.0,0.0,2.6,0.0,27.67
ESAWC00004B,PH097332095,2021-01-01,Y,0.17,3.18,0.39,2.24,0.44,0.0,100.12,0.01,80.53
ESAWC00004C,PH097332060,2021-01-01,Y,0.83,1.18,0.16,2.67,0.0,0.0,0.74,0.0,99.11
ESAWC00004D,PH097332034,2021-01-01,Y,0.06,0.03,0.01,1.47,0.0,0.0,0.0,0.0,100.07
ESAWC00004E,PH097332902,2021-01-01,Y,0.0,0.0,0.01,4.37,0.0,0.0,0.0,0.0,100.04
ESAWC00004F,PH097332027,2021-01-01,Y,0.0,0.01,0.12,0.99,0.0,0.0,0.0,0.0,100.01
ESAWC000050,PH097332056,2021-01-01,Y,1.62,12.23,5.63,6.22,0.0,41.68,100.05,0.0,6.71
ESAWC000051,PH097332044,2021-01-01,Y,0.13,1.84,0.47,3.52,0.0,0.0,0.0,0.0,100.02
ESAWC000052,PH097332020,2021-01-01,Y,0.17,96.51,0.0,0.67,0.0,0.0,2.23,0.0,3.1
ESAWC000053,PH097332093,2021-01-01,Y,0.33,7.08,18.64,4.33,0.0,0.0,0.0,0.0,75.63
ESAWC000054,PH104305004,2021-01-01,Y,0.09,1.47,0.62,43.67,0.0,0.0,0.02,0.0,104.96
ESAWC000055,PH104305001,2021-01-01,Y,0.66,12.87,1.15,9.41,0.0,0.0,0.25,0.0,89.99
ESAWC000056,PH104305002,2021-01-01,Y,1.95,1.35,2.55,17.61,0.0,0.0,0.32,0.0,102.41
ESAWC000057,PH104305081,2021-01-01,Y,0.28,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08
ESAWC000058,PH104305005,2021-01-01,Y,1.89,38.79,1.45,5.83,0.0,0.0,3.72,0.0,65.59
ESAWC000059,PH104305043,2021-01-01,Y,1.79,24.63,1.21,21.92,0.0,0.0,0.04,0.0,90.63
ESAWC00005A,PH104305073,2021-01-01,Y,0.44,64.0,0.0,0.39,0.0,0.0,13.6,0.0,22.06
ESAWC00005B,PH104305032,2021-01-01,Y,0.05,100.0,0.0,2.1,0.0,0.0,0.0,0.0,26.3
ESAWC00005C,PH104305078,2021-01-01,Y,0.78,100.0,0.03,4.69,0.0,0.0,0.0,0.0,6.09
ESAWC00005D,PH104305034,2021-01-01,Y,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESAWC00005E,PH104305055,2021-01-01,Y,0.69,96.16,0.0,1.22,0.0,0.0,1.89,0.0,3.52
ESAWC00005F,PH112402032,2021-01-01,Y,0.05,0.4,1.2,4.55,0.0,0.0,0.0,0.0,100.1
ESAWC000060,PH112402160,2021-01-01,Y,0.16,90.88,0.0,0.42,0.0,0.0,1.79,0.0,7.14
