uuid,adm4_pcode,date,freq,google_bldgs_count,google_bldgs_area_total,google_bldgs_area_mean,google_bldgs_count_lt100_sqm,google_bldgs_count_100_200_sqm,google_bldgs_count_gt_200_sqm,google_bldgs_density,google_bldgs_pct_built_up_area
GOBLG000000,PH015518016,2023-01-01,Y,469.0,18878.581,40.25283795309168,442.0,20.0,7.0,0.0004596083030374,1.85005385440606
GOBLG000001,PH015518031,2023-01-01,Y,2209.0,234899.6797,106.33756437301948,1535.0,449.0,225.0,0.0021184148238079,22.52670726954335
GOBLG000002,PH015518022,2023-01-01,Y,6530.0,479063.8388,73.36352814701378,5245.0,889.0,396.0,0.0020038790549358,14.701163745000004
GOBLG000003,PH015518024,2023-01-01,Y,501.0,81550.8829,162.77621337325348,304.0,101.0,96.0,0.0027656370608402,45.01799283283174
GOBLG000004,PH034919017,2023-01-01,Y,1170.0,87170.2755,74.50450897435898,929.0,202.0,39.0,0.0001846836060902,1.3759761387367468
GOBLG000005,PH034919010,2023-01-01,Y,992.0,70833.9034,71.4051445564516,755.0,195.0,42.0,0.0003662252830844,2.6150369278873025
GOBLG000006,PH050506053,2023-01-01,Y,928.0,43809.9605,47.20900915948276,845.0,73.0,10.0,0.0010981352806748,5.184187852373034
GOBLG000007,PH050506056,2023-01-01,Y,1739.0,87798.4171,50.48787642323175,1607.0,102.0,30.0,0.0002448850081115,1.236372402744006
GOBLG000008,PH050506072,2023-01-01,Y,159.0,18456.8256,116.0806641509434,110.0,29.0,20.0,0.0047299700233616,54.90580617258729
GOBLG000009,PH050506020,2023-01-01,Y,320.0,34556.0536,107.9876675,236.0,57.0,27.0,0.005136838278153,55.47151839824641
GOBLG00000A,PH050506051,2023-01-01,Y,3387.0,312834.578,92.36332388544434,2537.0,599.0,251.0,0.0023387816154692,21.60176438469097
GOBLG00000B,PH050506022,2023-01-01,Y,630.0,33400.843,53.01721111111111,560.0,47.0,23.0,0.0103485902857955,54.8653395884414
GOBLG00000C,PH050506042,2023-01-01,Y,1634.0,116350.0732,71.20567515299878,1313.0,264.0,57.0,0.0044419264761043,31.62903737109889
GOBLG00000D,PH050506012,2023-01-01,Y,2249.0,161512.2715,71.81514962205425,1816.0,348.0,85.0,0.004605701870031,33.07591689108517
GOBLG00000E,PH050506003,2023-01-01,Y,865.0,36729.6236,42.46199260115607,804.0,53.0,8.0,0.0006808392796998,2.8909792457192074
GOBLG00000F,PH050506038,2023-01-01,Y,521.0,35685.2522,68.49376621880998,413.0,95.0,13.0,0.0046148244345222,31.608670595901817
GOBLG000010,PH050506007,2023-01-01,Y,390.0,17746.9868,45.505094358974354,364.0,22.0,4.0,0.0022207309292132,10.1054570479743
GOBLG000011,PH050506043,2023-01-01,Y,592.0,44397.7238,74.99615506756757,468.0,91.0,33.0,0.0022509919263137,16.88157395616697
GOBLG000012,PH063022084,2023-01-01,Y,788.0,92264.6017,117.08705799492384,485.0,200.0,103.0,0.0041280479264618,48.33409869714689
GOBLG000013,PH063022081,2023-01-01,Y,139.0,32514.6281,233.9181877697842,68.0,30.0,41.0,0.0032007207546355,74.8706798481473
GOBLG000014,PH063022178,2023-01-01,Y,1227.0,158916.0642,129.51594474327626,841.0,231.0,155.0,0.0022525804555945,29.174508581657427
GOBLG000015,PH063022189,2023-01-01,Y,517.0,62359.4947,120.61797814313348,311.0,111.0,95.0,0.0043898237879939,52.949166971245695
GOBLG000016,PH063022064,2023-01-01,Y,2521.0,191890.3841,76.11677274890916,1806.0,614.0,101.0,0.0028323545505363,21.55896876675106
GOBLG000017,PH063022033,2023-01-01,Y,812.0,78063.4995,96.13731465517242,563.0,172.0,77.0,0.0014519849879199,13.958993765824976
GOBLG000018,PH063022080,2023-01-01,Y,340.0,18821.3267,55.35684323529412,306.0,20.0,14.0,0.0070160297155802,38.83852570995424
GOBLG000019,PH063022097,2023-01-01,Y,133.0,18363.7791,138.07352706766918,81.0,29.0,23.0,0.003428833715597,47.3431164841025
GOBLG00001A,PH063022154,2023-01-01,Y,213.0,31239.6571,146.66505680751175,86.0,67.0,60.0,0.0055972199332316,82.09165794715601
GOBLG00001B,PH063022041,2023-01-01,Y,2367.0,222331.9636,93.92985365441488,1642.0,424.0,301.0,0.0022500117002189,21.134326972228244
GOBLG00001C,PH063022186,2023-01-01,Y,287.0,14995.8034,52.25018606271777,256.0,27.0,4.0,0.0064332848943671,33.6140332725155
GOBLG00001D,PH063022161,2023-01-01,Y,445.0,31951.5938,71.80133438202247,342.0,85.0,18.0,0.008152000917109,58.53245437318979
GOBLG00001E,PH063022023,2023-01-01,Y,933.0,67748.4322,72.61353933547696,722.0,160.0,51.0,0.0024996233487099,18.150649835542502
GOBLG00001F,PH063022060,2023-01-01,Y,1384.0,111735.2837,80.7335864884393,1087.0,188.0,109.0,0.0017498684634059,14.127315693377447
GOBLG000020,PH063022159,2023-01-01,Y,455.0,38023.0707,83.56718835164834,322.0,109.0,24.0,0.0073782846836646,61.65825058718878
GOBLG000021,PH063022181,2023-01-01,Y,201.0,16734.2426,83.25493830845772,161.0,22.0,18.0,0.0033401784090941,27.808634738837632
GOBLG000022,PH063022011,2023-01-01,Y,2309.0,178212.6716,77.1817546990039,1792.0,344.0,173.0,0.0011803947603456,9.110493884098632
GOBLG000023,PH063022043,2023-01-01,Y,426.0,27466.44,64.47521126760563,352.0,61.0,13.0,0.008122826671905,52.37209657612184
GOBLG000024,PH063022177,2023-01-01,Y,2917.0,231925.2506,79.50814213232773,2537.0,257.0,123.0,0.0007980110598288,6.344837676804352
GOBLG000025,PH063022115,2023-01-01,Y,1469.0,87737.8579,59.7262477195371,1192.0,231.0,46.0,0.001181100814971,7.054271985671007
GOBLG000026,PH063022071,2023-01-01,Y,580.0,44079.662,75.9994172413793,463.0,87.0,30.0,0.0064585126291829,49.08431960639962
GOBLG000027,PH063022188,2023-01-01,Y,1163.0,95135.4886,81.8017958727429,923.0,163.0,77.0,0.0049862935110125,40.7887763949435
GOBLG000028,PH063022045,2023-01-01,Y,152.0,17586.1047,115.6980572368421,112.0,18.0,22.0,0.0055996309544078,64.78664226682778
GOBLG000029,PH063022168,2023-01-01,Y,3058.0,207861.3759,67.97298100065403,2549.0,392.0,117.0,0.0031140253583092,21.16695865159106
GOBLG00002A,PH063022069,2023-01-01,Y,240.0,33924.8883,141.35370125,135.0,57.0,48.0,0.0044787864164056,63.30930370671624
GOBLG00002B,PH063022169,2023-01-01,Y,569.0,67347.6986,118.36150896309316,389.0,94.0,86.0,0.0049586843956971,58.69173675464552
GOBLG00002C,PH072230023,2023-01-01,Y,5335.0,580882.6158,108.88146500468604,4388.0,586.0,361.0,0.0039747883889825,43.27807828760319
GOBLG00002D,PH072230001,2023-01-01,Y,3211.0,387595.1358,120.70854431641231,2479.0,443.0,289.0,0.0040205531072642,48.53151129246902
GOBLG00002E,PH072230014,2023-01-01,Y,4471.0,374346.748,83.72774502348469,3797.0,405.0,269.0,0.0036637432977208,30.67569646630724
GOBLG00002F,PH072230006,2023-01-01,Y,2225.0,200194.6763,89.97513541573034,1882.0,230.0,113.0,0.0052824574160978,47.52898213412288
GOBLG000030,PH072230011,2023-01-01,Y,3401.0,203597.0582,59.86388068215231,3017.0,300.0,84.0,0.0050229074966901,30.06907350593473
GOBLG000031,PH072230024,2023-01-01,Y,2383.0,153196.1498,64.28709601342845,2048.0,210.0,125.0,0.0019334291223349,12.42945436227038
GOBLG000032,PH083747022,2023-01-01,Y,245.0,22207.3774,90.64235673469388,146.0,92.0,7.0,2.6110329391361628e-05,0.2366701791152163
GOBLG000033,PH083747063,2023-01-01,Y,422.0,25810.1666,61.16153222748815,359.0,43.0,20.0,0.0049353679166549,30.185466388899968
GOBLG000034,PH083747123,2023-01-01,Y,40.0,1541.5722,38.539305,37.0,2.0,1.0,0.0007265155205131,2.799940323228903
GOBLG000035,PH083747129,2023-01-01,Y,2543.0,195555.0389,76.89934679512386,2020.0,378.0,145.0,0.0022904297232289,17.613254959644223
GOBLG000036,PH083747071,2023-01-01,Y,91.0,21427.607,235.4682087912088,37.0,22.0,32.0,0.0021331119899125,50.22800594157659
GOBLG000037,PH083747034,2023-01-01,Y,26.0,11209.6141,431.13900384615386,17.0,3.0,6.0,0.0014877614609451,64.14319942326037
GOBLG000038,PH083747128,2023-01-01,Y,1377.0,105493.4804,76.61109687726943,1138.0,175.0,64.0,0.0014184621570627,10.866994173147573
GOBLG000039,PH083747048,2023-01-01,Y,54.0,6727.9283,124.5912648148148,32.0,11.0,11.0,0.0037884027375447,47.20018886986126
GOBLG00003A,PH083747044,2023-01-01,Y,44.0,8539.353,194.0762045454545,13.0,16.0,15.0,0.0035656426494212,69.20063921650659
GOBLG00003B,PH083747133,2023-01-01,Y,3285.0,173618.0857,52.85177646879756,2922.0,248.0,115.0,0.0016225844332123,8.57564697658886
GOBLG00003C,PH083747067,2023-01-01,Y,102.0,7811.6462,76.58476666666667,77.0,20.0,5.0,0.0064272755428691,49.223139775300986
GOBLG00003D,PH083747076,2023-01-01,Y,176.0,55045.9255,312.7609403409091,68.0,37.0,71.0,0.0012518761847353,39.15379727282111
GOBLG00003E,PH083747112,2023-01-01,Y,291.0,33418.9795,114.84185395189004,245.0,24.0,22.0,0.0031728776201336,36.43791482586137
