uuid,adm4_pcode,date,freq,rwi_max,rwi_mean,rwi_median,rwi_min,rwi_std
TMRWI000000,PH015518001,2016-01-01,Y,0.7290515294212448,0.6685995897752577,0.6706092903191905,0.6365702030770675,0.0306404995423282
TMRWI000001,PH112402081,2016-01-01,Y,0.6576096990613154,0.5313969975728029,0.5308256527558572,0.4538853541586833,0.0356328234443565
TMRWI000002,PH063022043,2016-01-01,Y,0.6234778539717355,0.6053050170781894,0.6115207691422859,0.5809164281205468,0.0219509777211243
TMRWI000003,PH112402082,2016-01-01,Y,0.5906757853196453,0.4876897731369394,0.4842627738001746,0.4135769228715725,0.0389163033154828
TMRWI000004,PH097332060,2016-01-01,Y,0.4620714279618304,0.3747960753826263,0.3665635712343647,0.3219813569845461,0.0338612435196455
TMRWI000005,PH083747049,2016-01-01,Y,0.4885372811155484,0.4885372811155484,0.4885372811155484,0.4885372811155484,
TMRWI000006,PH063022042,2016-01-01,Y,0.5615534863553908,0.5416258239515361,0.5382652511919584,0.5300657364621632,0.0125501548427898
TMRWI000007,PH112402083,2016-01-01,Y,0.4792423539993898,0.4209559926996887,0.4237331346292378,0.3564368406749621,0.0292833791881949
TMRWI000008,PH063022041,2016-01-01,Y,0.6870714595210594,0.6459993967055387,0.6487724306988956,0.5720290620872069,0.0347430728759076
TMRWI000009,PH112402086,2016-01-01,Y,0.6789003156876808,0.6171858191154974,0.6173584175833744,0.5620838224267534,0.0297055023352082
TMRWI00000A,PH097332059,2016-01-01,Y,0.6630733593434549,0.4954941250480629,0.4938066365212784,0.3099043773970845,0.1010359792696802
TMRWI00000B,PH083747050,2016-01-01,Y,0.4885372811155484,0.4885372811155484,0.4885372811155484,0.4885372811155484,
TMRWI00000C,PH063022040,2016-01-01,Y,0.5933144298794608,0.5646537163298675,0.5644983244057271,0.5363037866285552,0.0280225904684574
TMRWI00000D,PH112402087,2016-01-01,Y,0.6481805363336348,0.578845916850201,0.5766909577829712,0.5109282547647604,0.0373131530535715
TMRWI00000E,PH063022038,2016-01-01,Y,0.647317162729692,0.6210716163732538,0.6175652597236481,0.6018387833160274,0.0209323479611543
TMRWI00000F,PH112402088,2016-01-01,Y,0.4798522854647982,0.3251581952093492,0.3187647706619497,0.2583797209996245,0.0510537800052795
TMRWI000010,PH063022044,2016-01-01,Y,0.5720290620872069,0.5587073248126209,0.5587073248126209,0.5453855875380349,0.0188397815280907
TMRWI000011,PH097332058,2016-01-01,Y,0.2566958852821183,0.202176002325961,0.1997574591042857,0.1723657878931558,0.0237911070464591
TMRWI000012,PH083747048,2016-01-01,Y,0.5617594904963741,0.5251483858059612,0.5251483858059612,0.4885372811155484,0.051775920786643
TMRWI000013,PH112402080,2016-01-01,Y,0.5945955704772792,0.5183532986562543,0.5188662086100042,0.4583444202284991,0.0365586240752326
TMRWI000014,PH063022050,2016-01-01,Y,0.6357588856772284,0.6062616224540212,0.6028382714327185,0.5836110612734193,0.0230071165783443
TMRWI000015,PH112402074,2016-01-01,Y,0.671995660183763,0.6192609530173271,0.6154425639794053,0.556125027920718,0.0335716890811482
TMRWI000016,PH063022049,2016-01-01,Y,0.6522318308116156,0.6169129389652674,0.6357588856772284,0.5550262452962287,0.0354239263109826
TMRWI000017,PH112402075,2016-01-01,Y,0.6657712062485385,0.6155268578831833,0.6128749596450427,0.5516636955464224,0.0298595592817825
TMRWI000018,PH097332063,2016-01-01,Y,0.6312369434064324,0.596161899899657,0.6071263301248331,0.5347148670502311,0.0351172987410398
TMRWI000019,PH083747046,2016-01-01,Y,0.5331617225086427,0.5108495018120955,0.5108495018120955,0.4885372811155484,0.0315542451157185
TMRWI00001A,PH063022048,2016-01-01,Y,0.6602569427801585,0.6254461965253949,0.6408336416838467,0.5728557780547505,0.0340448652247419
TMRWI00001B,PH112402077,2016-01-01,Y,0.6553674335824866,0.5976217405434812,0.597187658135369,0.5516636955464224,0.0314523106323101
TMRWI00001C,PH063022047,2016-01-01,Y,0.668074870725647,0.6218275989284717,0.639008008355698,0.5687292521602426,0.0398335492241129
TMRWI00001D,PH112402078,2016-01-01,Y,0.5617538964096431,0.5050263060032728,0.5084707720738867,0.4575819477966611,0.027259352184169
TMRWI00001E,PH097332062,2016-01-01,Y,0.6222443387957792,0.5934120867015585,0.5996889379238726,0.55202613216271,0.0299886798293914
