adm4_pcode,adm4_en,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_high,pct_area_landslide_hazard_med,google_bldgs_count,google_bldgs_density,google_bldgs_pct_built_up_area,google_bldgs_count_lt100_sqm,pct_area_builtup,pct_area_tree_cover,pct_area_cropland,rwi_latest,rwi_trend,pop_first,pop_last,pop_cagr,hazard_exposure,pop_projected_2030,projected_growth_pct,risk_score,risk_tier
PH104305013,Barangay 17 (Pob.),95.1448,94.9052,41.0615,0.0,0.0,363.0,0.0037876785828177,23.833769750950378,307.0,60.18,28.62,0.0,0.76879934888013,0.15197304988943705,2091.52880859375,3720.478271484375,0.029216514324712062,95.1448,4962.108238273813,33.37285897638262,0.6395888831224585,Tier 3: Critical Intervention
PH104305045,Consolacion,92.8972,81.1002,19.7109,0.0,0.0,1878.0,0.0036970393771366,29.18216053819001,1527.0,60.87,33.09,0.52,0.7330878290256617,0.1311319902721816,5980.7626953125,10332.595703125,0.027714876880694073,92.8972,13581.128843597457,31.43966176369377,0.6246709088731484,Tier 3: Critical Intervention
PH104305070,Tignapoloan,5.0418,0.0,0.0,38.008,40.1822,2062.0,3.3068798132586506e-05,0.2141184138582236,1864.0,0.18,100.04,0.18,0.317638257859648,0.0940423703187224,5251.46484375,12118.75,0.04269878672531835,43.049800000000005,18409.691395702004,51.9108108980052,0.6130511381975615,Tier 3: Critical Intervention
PH104305011,Barangay 15 (Pob.),90.4153,85.4485,41.1537,0.0,0.0,446.0,0.0035831385397307,30.048018709108764,331.0,58.35,26.62,1.04,0.7606843455630854,0.1268997412689511,3354.3779296875,5691.294921875,0.026786038856756678,90.4153,7413.284048097252,30.256543543432144,0.5952928281522892,Tier 2: Priority Mitigation
PH104305009,Barangay 13 (Pob.),82.6511,76.6016,48.7284,0.0,0.0,306.0,0.0030075256128601,28.46429528081388,214.0,49.45,22.18,2.48,0.7606843455630854,0.1268997412689511,1358.2880859375,2487.238037109375,0.030709485837253414,82.6511,3365.736251128329,35.32023075040818,0.5895937561303431,Tier 2: Priority Mitigation
PH104305039,Besigan,5.9289,0.0,0.0,34.6846,36.877,547.0,2.248904598936129e-05,0.0998363162663974,511.0,0.08,99.86,0.23,0.3024107931812178,0.06549655317986416,490.6290893554688,1090.6083984375,0.040748460620474436,40.6135,1626.0227201967393,49.09317794786106,0.5885282177772709,Tier 2: Priority Mitigation
PH104305014,Barangay 18 (Pob.),70.866,69.4097,0.0,0.0,0.0,305.0,0.006412351109018,44.68507924311447,248.0,100.0,12.07,0.0,0.76879934888013,0.15197304988943705,1272.7935791015625,2250.1142578125,0.02889801601823927,70.866,2991.7677026300657,32.96070153960009,0.5817060344218692,Tier 2: Priority Mitigation
PH104305006,Barangay 10 (Pob.),68.5013,65.02,45.7466,0.0,0.0,156.0,0.0029196313902341,32.8981766777644,97.0,51.13,26.08,0.16,0.743951755826106,0.13435822148699217,313.7666931152344,541.8067626953125,0.027689404689599684,68.5013,711.9724879355695,31.407087721411564,0.5047055530613949,Tier 2: Priority Mitigation
PH104305051,Iponan,52.9737,43.4242,26.3393,0.0,1.4728,10185.0,0.0021717193349388,17.58694508917637,7864.0,34.62,59.1,1.33,0.6612136858635694,0.06629931288192925,16320.55859375,30457.65625,0.0316872730448543,52.9737,41608.03554464343,36.6094462525935,0.48815642291576694,Tier 2: Priority Mitigation
PH104305021,Barangay 26 (Pob.),58.1571,23.5652,0.0,0.0,0.0,350.0,0.0037440218243987,58.259802901016045,261.0,100.0,5.69,0.0,0.7382411266441458,0.17186839478612403,1439.9798583984375,2419.502685546875,0.026286189048242425,58.1571,3136.252019692999,29.623828831755095,0.4643770372574588,Tier 2: Priority Mitigation
